date,local,outside,foreign
2023-08-17,208694.5,115356.5,1586.9999999999998
2023-08-18,212817.5,124358.5,1616.11
2023-08-19,194201.0,159645.5,1605.0399999999997
2023-08-20,187264.0,161910.0,1661.0299999999997
2023-08-21,209643.0,108811.5,1563.07
2023-08-22,208071.5,110201.0,1560.6399999999996
2023-08-23,207574.5,101377.5,1522.8399999999995
2023-08-24,209065.5,106666.0,1601.52
2023-08-25,213363.5,128222.5,1625.7400000000002
2023-08-26,194267.5,168164.5,1577.5699999999995
2023-08-27,183848.0,169750.0,1512.6999999999994
2023-08-28,206286.5,104510.0,1438.5699999999997
2023-08-29,203451.5,103194.0,1498.2799999999997
2023-08-30,206832.5,112066.5,1395.82
2023-08-31,211620.5,119735.0,1638.8500000000001
2023-09-01,217283.5,113701.0,1510.4799999999998
2023-09-02,197897.0,154952.0,1661.7500000000002
2023-09-03,189735.0,146128.5,1487.81
2023-09-04,209230.0,95882.5,1408.54
2023-09-05,217182.0,107520.0,1577.8899999999996
2023-09-06,214119.5,108013.5,1534.2400000000002
2023-09-07,214315.5,111079.5,1500.9799999999998
2023-09-08,218470.0,123466.0,1556.7400000000002
2023-09-09,200469.5,165403.0,1586.0599999999997
2023-09-10,192605.0,164839.5,1547.09
2023-09-11,212996.0,106431.5,1465.8899999999999
2023-09-12,213346.0,112941.5,1474.5599999999997
2023-09-13,210133.0,113365.0,1454.02
2023-09-14,214420.5,117180.0,1485.58
2023-09-15,214861.5,119094.5,1467.7499999999995
2023-09-16,198072.0,159985.0,1560.1
2023-09-17,195303.5,156926.0,1501.3299999999997
2023-09-18,214266.5,116116.0,1464.9499999999998
2023-09-19,213412.5,121240.0,1424.27
2023-09-20,209706.0,111023.5,1465.1899999999994
2023-09-21,216279.0,125475.0,1495.49
2023-09-22,219677.5,138250.0,1587.3900000000003
2023-09-23,206129.0,178685.5,1489.85
2023-09-24,197291.5,167468.0,1465.9799999999998
2023-09-25,217287.0,123896.5,1420.04
2023-09-26,214091.5,117229.0,1447.8600000000001
2023-09-27,223741.0,135621.5,1530.04
2023-09-28,181384.0,247334.5,1841.8500000000001
2023-09-29,157678.5,320386.5,2151.1999999999994
2023-09-30,162218.0,234307.5,1842.1300000000003
2023-10-01,180810.0,194470.5,1840.3899999999996
2023-10-02,191341.5,179686.5,1670.22
2023-10-03,195069.0,126560.0,1630.91
2023-10-04,216205.5,91399.0,1572.8700000000003
2023-10-05,217826.0,101517.5,1544.31
2023-10-06,220937.5,113484.0,1756.2800000000002
2023-10-07,201614.0,155351.0,1626.5699999999993
2023-10-08,189441.0,158364.5,1661.46
2023-10-09,196325.5,151595.5,1494.7599999999995
2023-10-10,217658.0,105598.5,1564.23
2023-10-11,218631.0,111391.0,1572.87
2023-10-12,216923.0,114789.5,1532.7099999999998
2023-10-13,231388.5,141494.5,1699.07
2023-10-14,207536.0,161010.5,1452.5899999999997
2023-10-15,204113.0,173470.5,1547.9199999999994
2023-10-16,224122.5,119283.5,1607.04
2023-10-17,224710.5,136311.0,2035.9899999999998
2023-10-18,226264.5,135394.0,1820.5399999999997
2023-10-19,220426.5,123823.0,1854.0400000000002
2023-10-20,229859.0,152505.5,2008.6599999999994
2023-10-21,210399.0,197564.5,1550.5000000000002
2023-10-22,202282.5,196486.5,1789.7000000000005
2023-10-23,225057.0,134179.5,1723.3799999999999
2023-10-24,223237.0,137798.5,1808.1200000000001
2023-10-25,225862.0,142600.5,1747.6999999999998
2023-10-26,224105.0,141449.0,1712.7700000000002
2023-10-27,223625.5,156026.5,2076.8999999999996
2023-10-28,210161.0,213804.5,1856.4200000000005
2023-10-29,203024.5,217084.0,1794.7200000000003
2023-10-30,224696.5,143822.0,1846.6100000000001
2023-10-31,225099.0,143577.0,1918.1199999999997
2023-11-01,221802.0,104653.5,1698.5
2023-11-02,224154.0,117124.0,1818.8400000000004
2023-11-03,225536.5,124684.0,1732.2299999999996
2023-11-04,208064.5,178076.5,1664.33
2023-11-05,194334.0,139118.0,1331.2100000000003
2023-11-06,220045.0,92193.5,1590.83
2023-11-07,221025.0,106820.0,1736.88
2023-11-08,223604.5,110057.5,1685.7900000000002
2023-11-09,221466.0,112217.0,1556.1800000000003
2023-11-10,225099.0,126476.0,1701.3600000000004
2023-11-11,204963.5,171745.0,1565.86
2023-11-12,196686.0,168364.0,1561.2499999999998
2023-11-13,221053.0,102872.0,1381.6599999999996
2023-11-14,221970.0,104811.0,1292.7900000000002
2023-11-15,225071.0,108650.5,1329.1599999999996
2023-11-16,209216.0,93698.5,1204.4799999999998
2023-11-17,223755.0,117421.5,1364.1599999999996
2023-11-18,204242.5,157867.5,1203.3100000000002
2023-11-19,197837.5,157426.5,1187.1
2023-11-20,221574.5,99718.5,1177.7500000000002
2023-11-21,220475.5,104198.5,1210.3899999999999
2023-11-22,220115.0,104513.5,1160.49
2023-11-23,216594.0,102917.5,1126.76
2023-11-24,219191.0,114464.0,1167.6299999999999
2023-11-25,200956.0,144851.0,1187.51
2023-11-26,191607.5,133413.0,1173.0199999999998
2023-11-27,213521.0,91826.0,1057.8799999999999
2023-11-28,214777.5,99337.0,1132.4099999999999
2023-11-29,215579.0,96768.0,1132.17
2023-11-30,216688.5,98374.5,1210.3200000000002
2023-12-01,224280.0,91875.0,1183.0800000000002
2023-12-02,206024.0,127316.0,1120.4
2023-12-03,198243.5,117019.0,1207.1200000000001
2023-12-04,219310.0,80006.5,1195.9399999999998
2023-12-05,220031.0,85305.5,1226.2400000000002
2023-12-06,216909.0,81375.0,1249.8200000000004
2023-12-07,220689.0,86947.0,1223.3800000000003
2023-12-08,226422.0,102879.0,1310.3799999999999
2023-12-09,208740.0,140857.5,1248.0
2023-12-10,198982.0,130137.0,1235.3500000000001
2023-12-11,214928.0,78956.5,1235.45
2023-12-12,219229.5,88956.0,1257.98
2023-12-13,219530.5,92624.0,1289.16
2023-12-14,213444.0,86842.0,1182.23
2023-12-15,217119.0,92652.0,1219.3899999999996
2023-12-16,200105.5,125139.0,1258.5800000000002
2023-12-17,191068.5,112399.0,1365.9900000000005
2023-12-18,215218.5,88735.5,1249.6499999999999
2023-12-19,215967.5,91833.0,1490.1399999999999
2023-12-20,215652.5,87713.5,1411.7400000000002
2023-12-21,213832.5,92053.5,1319.0000000000002
2023-12-22,219968.0,109119.5,1444.0399999999997
2023-12-23,204015.0,143370.5,1484.7699999999998
2023-12-24,191058.0,144056.5,1321.8799999999997
2023-12-25,191922.5,118692.0,1457.4899999999996
2023-12-26,217028.0,104433.0,1483.16
2023-12-27,217640.5,108654.0,1441.1500000000005
2023-12-28,217973.0,113648.5,1531.5500000000006
2023-12-29,224000.0,126560.0,1550.92
2023-12-30,191649.5,134907.5,1654.4499999999998
2023-12-31,189353.5,142684.5,1358.4400000000007
2024-01-01,184723.0,144025.0,1481.3799999999992
2024-01-02,209622.0,85256.5,1399.1599999999994
2024-01-03,209398.0,87969.0,1310.8099999999995
2024-01-04,213419.5,94930.5,1369.2199999999998
2024-01-05,215750.5,107310.0,1267.1799999999998
2024-01-06,199223.5,140063.0,1322.9199999999998
2024-01-07,187428.5,115104.5,1132.95
2024-01-08,209076.0,93317.0,1252.3699999999997
2024-01-09,198128.0,80671.5,1242.6199999999997
2024-01-10,210416.5,94069.5,1213.2799999999993
2024-01-11,209139.0,101076.5,1216.78
2024-01-12,213832.5,115227.0,1268.8799999999997
2024-01-13,201642.0,152999.0,1263.6499999999996
2024-01-14,182633.5,120914.5,1168.75
2024-01-15,208827.5,97671.0,1279.8200000000002
2024-01-16,211613.5,103859.0,1205.7999999999995
2024-01-17,205999.5,96799.5,1200.0100000000002
2024-01-18,210791.0,104842.5,1277.8400000000001
2024-01-19,215183.5,120984.5,1289.74
2024-01-20,196742.0,149338.0,1339.9099999999999
2024-01-21,189427.0,133290.5,1304.3499999999997
2024-01-22,205485.0,98889.0,1306.0599999999995
2024-01-23,205691.5,97471.5,1232.4800000000002
2024-01-24,207900.0,100233.0,1202.6799999999996
2024-01-25,213195.5,107649.5,1265.5599999999997
2024-01-26,218148.0,123693.5,1154.1300000000003
2024-01-27,204298.5,160818.0,1352.3200000000002
2024-01-28,195247.5,142912.0,1327.1699999999996
2024-01-29,214854.5,109732.0,1379.26
2024-01-30,214518.5,112987.0,1522.58
2024-01-31,216685.0,111895.0,1360.4499999999998
2024-02-01,208285.0,90100.5,1563.2299999999996
2024-02-02,212821.0,106225.0,1544.9900000000002
2024-02-03,199524.5,140616.0,1411.8899999999999
2024-02-04,196805.0,136678.5,1512.3799999999999
2024-02-05,205443.0,83489.0,1551.2499999999995
2024-02-06,211442.0,94363.5,1648.0499999999995
2024-02-07,211211.0,96313.0,1565.7399999999996
2024-02-08,221921.0,121849.0,1765.4
2024-02-09,180435.5,184891.0,1941.0900000000006
2024-02-10,164066.0,278117.0,2033.56
2024-02-11,176557.5,192202.5,2009.2499999999998
2024-02-12,189528.5,137490.5,1922.1299999999999
2024-02-13,212814.0,100520.0,1796.6699999999996
2024-02-14,218267.0,107607.5,1657.6399999999999
2024-02-15,209363.0,96026.0,1556.3899999999999
2024-02-16,218974.0,119885.5,1531.53
2024-02-17,208393.5,159096.0,1493.6899999999998
2024-02-18,194369.0,132842.5,1461.7400000000002
2024-02-19,210644.0,95539.5,1451.58
2024-02-20,213794.0,105924.0,1444.4200000000003
2024-02-21,210584.5,96670.0,1409.4199999999998
2024-02-22,215278.0,106081.5,1474.4699999999998
2024-02-23,222474.0,124992.0,1478.7599999999998
2024-02-24,207294.5,155379.0,1460.44
2024-02-25,196962.5,138705.0,1318.6799999999996
2024-02-26,215393.5,113354.5,1432.56
2024-02-27,215568.5,117656.0,1445.4799999999998
2024-02-28,216741.0,122839.5,1469.61
2024-02-29,220731.0,137557.0,1499.8600000000001
2024-03-01,193830.0,156698.5,1435.0500000000002
2024-03-02,196535.5,134554.0,1423.5700000000002
2024-03-03,196658.0,121408.0,1347.0599999999995
2024-03-04,221679.5,95039.0,1474.1699999999996
2024-03-05,219625.0,98168.0,1246.9999999999998
2024-03-06,221448.5,99988.0,1279.46
2024-03-07,218207.5,101013.5,1331.35
2024-03-08,224133.0,111513.5,1404.54
2024-03-09,208414.5,144368.0,1325.53
2024-03-10,198978.5,139391.0,1295.85
2024-03-11,218963.5,102126.5,1328.6599999999996
2024-03-12,217451.5,101748.5,1327.7199999999998
2024-03-13,222155.5,111394.5,1330.7800000000002
2024-03-14,220615.5,113935.5,1399.82
2024-03-15,226555.0,126192.5,1506.0200000000002
2024-03-16,209027.0,168322.0,1441.5099999999998
2024-03-17,196903.0,147658.0,1403.2
2024-03-18,220948.0,113137.5,1446.21
2024-03-19,217353.5,110390.0,1359.52
2024-03-20,219779.0,113946.0,1444.2700000000004
2024-03-21,219989.0,119581.0,1461.88
2024-03-22,224098.0,127928.5,1447.6600000000003
2024-03-23,209184.5,170411.5,1400.77
2024-03-24,202020.0,163866.5,1443.8
2024-03-25,217059.5,109578.0,1343.2000000000005
2024-03-26,218466.5,110995.5,1379.4899999999998
2024-03-27,221126.5,123315.5,1293.32
2024-03-28,213920.0,112889.0,1329.2000000000003
2024-03-29,217318.5,127662.5,1505.6399999999999
2024-03-30,205054.5,174198.5,1430.82
2024-03-31,199367.0,176379.0,1326.2499999999998
2024-04-01,218603.0,88928.0,1319.9300000000003
2024-04-02,218351.0,99155.0,1390.0600000000004
2024-04-03,214186.0,88049.5,1369.9899999999996
2024-04-04,217052.5,104191.5,1486.77
2024-04-05,222799.5,122692.5,1548.9900000000002
2024-04-06,207179.0,177376.5,1660.7599999999998
2024-04-07,199969.0,168497.0,1506.6100000000001
2024-04-08,215852.0,100604.0,1379.2800000000002
2024-04-09,224514.5,120956.5,1513.6600000000003
2024-04-10,214133.5,154931.0,1523.2000000000003
2024-04-11,219047.5,110425.0,1520.2699999999998
2024-04-12,224164.5,128695.0,1684.9700000000003
2024-04-13,209639.5,181440.0,1650.82
2024-04-14,201628.0,163712.5,1514.5900000000001
2024-04-15,212051.0,88602.5,1318.0399999999997
