date,gonjiam_slope_lag7_29
2024-06-02,-0.002259844720496896
2024-06-03,-0.0030469409937888227
2024-06-04,-0.0025633850931677054
2024-06-05,-0.001161925465838514
2024-06-06,0.00022400621118012006
2024-06-07,0.001941133540372667
2024-06-08,0.0024208850931676956
2024-06-09,0.0004305279503105508
2024-06-10,0.00028677018633539736
2024-06-11,0.0009887888198757684
2024-06-12,0.0019343322981366397
2024-06-13,0.0024303726708074487
2024-06-14,0.003642298136645958
2024-06-15,0.0033254037267080707
2024-06-16,0.0005776863354037253
2024-06-17,-0.00015372670807453713
2024-06-18,0.0005448291925465806
2024-06-19,0.0006734937888198719
2024-06-20,0.00040538819875776173
2024-06-21,0.0009352018633540362
2024-06-22,0.00030659937888198884
2024-06-23,-0.0015274689440993782
2024-06-24,-0.0018015993788819899
2024-06-25,6.599378881984308e-06
2024-06-26,0.0014318012422360226
2024-06-27,0.0026523757763975094
2024-06-28,0.0034662422360248386
2024-06-29,0.002813835403726702
2024-06-30,0.0006481366459627284
2024-07-01,-0.00039802795031056084
2024-07-02,0.00023920807453415763
2024-07-03,0.0002443322981366407
2024-07-04,0.00011652173913043079
2024-07-05,-8.47049689441036e-05
2024-07-06,-0.0009486335403726765
2024-07-07,-0.0029554037267080792
2024-07-08,-0.0025309937888198823
2024-07-09,-0.0006187111801242293
2024-07-10,0.0006835093167701819
2024-07-11,0.001808245341614903
2024-07-12,0.0028345031055900575
2024-07-13,0.002699767080745336
2024-07-14,0.0006873291925465783
2024-07-15,0.00048309006211179415
2024-07-16,0.001421288819875771
2024-07-17,0.0017339285714285683
2024-07-18,0.0015517701863354022
2024-07-19,0.0015267546583850908
2024-07-20,0.0008579347826086952
2024-07-21,-0.0009844409937888189
2024-07-22,-0.0011778881987577644
2024-07-23,5.9503105590062724e-05
2024-07-24,0.0005970341614906827
2024-07-25,0.0004891304347826083
2024-07-26,2.2888198757765517e-05
2024-07-27,-0.0009144254658385086
2024-07-28,-0.0024225621118012406
2024-07-29,-0.001579363354037265
2024-07-30,0.0008514285714285717
2024-07-31,0.0023833229813664614
2024-08-01,0.0034898913043478258
2024-08-02,0.004141381987577639
2024-08-03,0.003495031055900621
2024-08-04,0.0018716614906832299
2024-08-05,0.002226599378881986
2024-08-06,0.004664751552795026
2024-08-07,0.007314440993788814
2024-08-08,0.010411413043478252
2024-08-09,0.012525652173913032
2024-08-10,0.012279906832298128
2024-08-11,0.010443602484472044
2024-08-12,0.00889576086956521
2024-08-13,0.008585388198757758
2024-08-14,0.009596149068322974
2024-08-15,0.011117701863354024
2024-08-16,0.012445403726708062
2024-08-17,0.011864285714285702
2024-08-18,0.010102732919254644
2024-08-19,0.008964611801242221
2024-08-20,0.008570015527950298
2024-08-21,0.008675372670807441
2024-08-22,0.008014301242236014
2024-08-23,0.0070838198757763845
2024-08-24,0.0051421894409937755
2024-08-25,0.0022140372670807333
2024-08-26,0.0009386335403726557
2024-08-27,0.0006450310559006046
2024-08-28,0.000348819875776381
2024-08-29,-0.0007176708074534299
2024-08-30,-0.0022689906832298267
2024-08-31,-0.0051025931677018774
2024-09-01,-0.007909394409937901
2024-09-02,-0.007406319875776412
2024-09-03,-0.005434860248447218
2024-09-04,-0.002783012422360262
2024-09-05,0.0015828726708074395
2024-09-06,0.0038595186335403596
2024-09-07,0.004829658385093159
2024-09-08,0.005086925465838504
2024-09-09,0.008008586956521735
2024-09-10,0.010707468944099378
2024-09-11,0.011197484472049688
2024-09-12,0.011796335403726705
2024-09-13,0.00908925465838509
2024-09-14,0.0051106832298136555
2024-09-15,0.0008847049689440959
2024-09-16,0.0002504813664596237
2024-09-17,0.0020914906832298066
2024-09-18,0.003945419254658378
2024-09-19,0.005792903726708071
2024-09-20,0.007107624223602482
2024-09-21,0.006829627329192544
2024-09-22,0.004402779503105586
2024-09-23,0.002402003105590057
2024-09-24,0.0022055124223602425
2024-09-25,0.0016475931677018552
2024-09-26,0.0032493322981366384
2024-09-27,0.006540590062111795
2024-09-28,0.0063570807453416055
2024-09-29,0.005398586956521733
2024-09-30,0.01084431677018633
2024-10-01,0.017753742236024838
2024-10-02,0.02084815217391303
2024-10-03,0.02265203416149067
2024-10-04,0.024721506211180105
2024-10-05,0.020630186335403713
2024-10-06,0.013670683229813648
2024-10-07,0.014463354037267067
2024-10-08,0.018000698757763965
2024-10-09,0.021133524844720482
2024-10-10,0.02183082298136645
2024-10-11,0.02180499999999999
2024-10-12,0.019106583850931672
2024-10-13,0.014798524844720494
2024-10-14,0.01400667701863354
2024-10-15,0.014557096273291931
2024-10-16,0.015314347826086965
2024-10-17,0.015130388198757776
2024-10-18,0.014029844720496905
2024-10-19,0.008846630434782616
2024-10-20,0.0006519254658385151
2024-10-21,-0.0030883385093167593
2024-10-22,-0.004402562111801231
2024-10-23,-0.011916397515527944
2024-10-24,-0.019369813664596267
2024-10-25,-0.023844114906832286
2024-10-26,-0.027758881987577623
2024-10-27,-0.03110628881987576
2024-10-28,-0.02701627329192545
2024-10-29,-0.017675201863354018
2024-10-30,-0.013877034161490666
2024-10-31,-0.012339145962732908
2024-11-01,-0.013008385093167688
2024-11-02,-0.01439911490683228
2024-11-03,-0.016979301242236015
2024-11-04,-0.015652562111801233
2024-11-05,-0.01242041925465838
2024-11-06,-0.010531894409937886
2024-11-07,-0.008179239130434782
2024-11-08,-0.0057544254658385115
2024-11-09,-0.004967701863354044
2024-11-10,-0.005438695652173925
2024-11-11,-0.0024798757763975234
2024-11-12,0.0019857608695652124
2024-11-13,0.003723540372670802
2024-11-14,0.0037208695652173854
2024-11-15,0.004294642857142856
2024-11-16,0.0022710093167701826
2024-11-17,-0.0007987732919254722
2024-11-18,-0.00015670807453416706
2024-11-19,0.0028375310559006156
2024-11-20,0.0044920031055900545
2024-11-21,0.005281645962732911
2024-11-22,0.00524318322981366
2024-11-23,0.003192763975155277
2024-11-24,0.004030341614906831
2024-11-25,0.009120357142857138
2024-11-26,0.01498192546583851
2024-11-27,0.017367841614906832
2024-11-28,0.017593198757763977
2024-11-29,0.014861878881987575
2024-11-30,0.00795680124223602
2024-12-01,0.0022960093167701877
2024-12-02,0.0020935248447205034
2024-12-03,0.004757515527950322
2024-12-04,0.010123431677018646
2024-12-05,0.017221521739130448
2024-12-06,0.02457520186335405
2024-12-07,0.029267531055900627
2024-12-08,0.030513105590062116
